date,value
1959-03-31,315.98
1960-03-31,316.91
1961-03-31,317.64
1962-03-31,318.45
1963-03-31,318.99
1964-03-31,319.62
1965-03-31,320.04
1966-03-31,321.37
1967-03-31,322.18
1968-03-31,323.05
1969-03-31,324.62
1970-03-31,325.68
1971-03-31,326.32
1972-03-31,327.46
1973-03-31,329.68
1974-03-31,330.19
1975-03-31,331.13
1976-03-31,332.03
1977-03-31,333.84
1978-03-31,335.41
1979-03-31,336.84
1980-03-31,338.76
1981-03-31,340.12
1982-03-31,341.48
1983-03-31,343.15
1984-03-31,344.87
1985-03-31,346.35
1986-03-31,347.61
1987-03-31,349.31
1988-03-31,351.69
1989-03-31,353.2
1990-03-31,354.45
1991-03-31,355.7
1992-03-31,356.54
1993-03-31,357.21
1994-03-31,358.96
1995-03-31,360.97
1996-03-31,362.74
1997-03-31,363.88
1998-03-31,366.84
1999-03-31,368.54
2000-03-31,369.71
2001-03-31,371.32
2002-03-31,373.45
2003-03-31,375.98
2004-03-31,377.7
2005-03-31,379.98
2006-03-31,382.09
2007-03-31,384.02
2008-03-31,385.83
2009-03-31,387.64
2010-03-31,390.1
2011-03-31,391.85
2012-03-31,394.06
2013-03-31,396.74
2014-03-31,398.81
2015-03-31,401.01
2016-03-31,404.41
2017-03-31,406.76
2018-03-31,408.72
2019-03-31,411.66
2020-03-31,414.24
2021-03-31,416.45
