date,value
1958-12-31,0.06
1959-12-31,0.03
1960-12-31,-0.03
1961-12-31,0.06
1962-12-31,0.03
1963-12-31,0.05
1964-12-31,-0.20
1965-12-31,-0.11
1966-12-31,-0.06
1967-12-31,-0.02
1968-12-31,-0.08
1969-12-31,0.05
1970-12-31,0.03
1971-12-31,-0.08
1972-12-31,0.01
1973-12-31,0.16
1974-12-31,-0.07
1975-12-31,-0.01
1976-12-31,-0.10
1977-12-31,0.18
1978-12-31,0.07
1979-12-31,0.16
1980-12-31,0.26
1981-12-31,0.32
1982-12-31,0.14
1983-12-31,0.31
1984-12-31,0.16
1985-12-31,0.12
1986-12-31,0.18
1987-12-31,0.32
1988-12-31,0.39
1989-12-31,0.27
1990-12-31,0.45
1991-12-31,0.40
1992-12-31,0.22
1993-12-31,0.23
1994-12-31,0.32
1995-12-31,0.45
1996-12-31,0.33
1997-12-31,0.46
1998-12-31,0.61
1999-12-31,0.38
2000-12-31,0.39
2001-12-31,0.53
2002-12-31,0.63
2003-12-31,0.62
2004-12-31,0.53
2005-12-31,0.67
2006-12-31,0.63
2007-12-31,0.66
2008-12-31,0.54
2009-12-31,0.65
2010-12-31,0.72
2011-12-31,0.61
2012-12-31,0.65
2013-12-31,0.67
2014-12-31,0.74
2015-12-31,0.89
2016-12-31,1.01
2017-12-31,0.92
2018-12-31,0.84
2019-12-31,0.97
2020-12-31,1.02
2021-12-31,0.84
